,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind speed
961,13.812960040960888,107.13669967877524,lumphat,82.94,55.0,24.0,3.71
995,-36.72244250273898,-57.41819230302552,dolores,65.53,70.0,8.0,10.65
1538,30.34549877137499,56.043048963946376,rafsanjan,33.94,70.0,0.0,3.38
401,-12.584730598424429,-30.937971483121345,maragogi,75.07,100.0,24.0,6.85
1807,45.8089646815659,-81.51014314017593,little current,30.2,100.0,75.0,6.93
1666,39.67207579565013,-64.14383429323829,shelburne,30.2,79.0,75.0,3.94
463,-39.46525701589214,40.31345831453794,margate,73.4,46.0,75.0,4.7
25,63.54857477708944,12.540280346664048,snasa,16.93,80.0,80.0,8.19
799,-13.68359223894673,-76.08306069315714,san clemente,68.0,82.0,1.0,3.36
1183,-26.81245766918134,160.8641169062593,poya,75.74,100.0,92.0,29.89
1792,73.03462672066408,17.556308221541514,tromso,14.0,72.0,0.0,14.99
2387,-8.10150970739329,115.32386832131829,singaraja,80.69,86.0,48.0,2.37
2130,46.01211476041567,2.150120641919358,gueret,48.2,66.0,0.0,12.75
1038,60.411197044319636,113.9948295663782,lensk,5.81,64.0,32.0,3.38
2174,50.08639506931121,30.41506945623982,obukhiv,32.0,87.0,90.0,3.27
1958,16.51361131969773,33.64571854887237,wad rawah,65.57,32.0,0.0,7.85
983,-47.00510071141875,165.19835477460606,tuatapere,55.18,100.0,36.0,13.78
1674,54.58311820092072,-66.01203074310651,sept-iles,26.6,73.0,90.0,24.16
2254,15.597713919729031,-90.15957569716379,san pedro carcha,59.81,95.0,0.0,0.69
932,37.196959904535035,29.197607787210302,fethiye,50.0,81.0,0.0,5.82
570,66.17342920196955,40.98854311299331,arkhangelsk,-16.61,82.0,75.0,2.37
1560,-4.443918435733536,103.00468112508764,lahat,78.22,93.0,92.0,4.38
151,15.023413988992985,57.32543487511512,salalah,69.8,56.0,0.0,1.12
1693,12.000605754125274,-60.81952643213093,grenville,28.4,92.0,90.0,8.05
1686,67.155489651425,149.1170348277018,zyryanka,-9.9,53.0,0.0,3.04
535,60.11070369341104,40.92394582606917,syamzha,-15.66,46.0,0.0,3.04
1920,-3.402417386092168,-35.4862377760077,touros,79.75,89.0,88.0,6.17
1316,45.509451812050344,-11.592774450452737,carballo,59.0,72.0,0.0,23.04
1745,-23.81566250965669,55.18838852966752,saint-joseph,46.4,87.0,0.0,3.36
1731,53.84140327322484,-22.909105851258914,vestmannaeyjar,28.09,100.0,0.0,12.33
627,51.044231905197705,-11.762881292537259,dingle,87.35,56.0,0.0,12.66
1852,-17.97727839388905,-70.29507636735605,tacna,71.6,68.0,0.0,0.36
2017,7.5673062411962775,-16.521274600570564,goderich,29.3,87.0,76.0,10.54
2029,-27.32297047276223,-67.98468373936139,diego de almagro,56.12,84.0,0.0,2.48
1898,-20.288387741554388,31.627910389389484,chiredzi,73.27,87.0,68.0,3.27
71,-77.46401306306682,152.43612592400416,bluff,84.7,45.0,92.0,16.24
2155,11.83886445780999,-3.796008035120707,hounde,83.17,56.0,80.0,3.15
234,19.633999953343732,-78.70770124846857,niquero,75.47,100.0,20.0,4.72
678,-51.46831273271765,23.044401150245307,bredasdorp,57.2,76.0,24.0,5.82
545,20.938537797044717,54.62511355032257,nizwa,50.99,65.0,0.0,3.94
667,-14.303222184238379,21.099510967153833,kalabo,70.57,72.0,12.0,6.17
1233,-51.82536388596441,125.58317263159068,esperance,77.0,83.0,20.0,7.96
20,6.620188316391449,58.12783271081963,bandarbeyla,76.78,100.0,0.0,11.77
405,57.6115786316233,-132.6034543553722,juneau,33.8,80.0,90.0,11.41
1861,-13.839608192861945,52.07611561704542,sambava,79.79,100.0,24.0,2.48
1162,-18.24496703425585,-48.72339265477686,tupaciguara,70.7,90.0,32.0,2.59
196,-73.89597107011033,145.43918068809427,hobart,73.4,46.0,75.0,4.7
95,47.79114724368179,99.24109550454256,moron,78.8,78.0,20.0,2.71
406,-62.52492533996199,46.17168779052852,east london,66.29,100.0,32.0,25.52
845,22.764049178645152,-59.54249446104889,codrington,68.05,94.0,92.0,8.97
97,31.99968128060911,62.2791951155215,farah,53.83,73.0,20.0,2.26
1504,-50.06138551932878,-69.11666257558412,rio gallegos,48.2,76.0,90.0,3.36
1059,29.419027667996104,66.88532518186881,mastung,37.85,77.0,0.0,3.15
35,47.93052720843295,41.53127405547545,nikolayevskaya,44.6,93.0,90.0,4.47
553,64.99395542511601,46.996561969179396,leshukonskoye,9.59,91.0,24.0,5.5
522,44.76776197790775,39.5664145150933,ryazanskaya,37.4,93.0,90.0,6.71
140,1.774376396913425,82.2411606119735,hambantota,79.97,100.0,88.0,8.3
1524,-36.709057857871414,142.63387867899246,stawell,80.83,61.0,0.0,3.71
1683,16.43603388521082,-65.5189426340115,maunabo,78.8,78.0,20.0,7.63
1071,78.58846382933561,-4.4953328658497185,klaksvik,37.4,86.0,92.0,5.82
2134,33.03170152909,177.2061766222253,nikolskoye,23.0,67.0,0.0,8.95
1657,29.210777739951453,-79.23205422310885,merritt island,55.4,57.0,1.0,11.41
666,-44.49269008651019,-38.167148906146735,rio grande,67.1,100.0,0.0,7.4
588,14.095336759867521,-8.95129627760582,kolokani,68.32,34.0,0.0,6.85
1625,45.187250494171224,-30.246558878096778,lagoa,59.0,100.0,20.0,5.82
2263,72.78468273889143,8.452298211673423,sorland,28.94,100.0,8.0,15.57
742,34.409965130914,62.87454974305746,herat,51.8,62.0,0.0,2.24
2496,69.53329639699922,-73.55946708961139,clyde river,-34.61,65.0,1.0,3.6
860,13.011074898705829,96.00229451675261,dawei,71.6,79.0,68.0,7.63
110,6.470497127625222,96.11846120632453,sabang,79.93,90.0,92.0,8.97
1979,64.32709286038587,135.75877182540574,khandyga,-4.32,53.0,48.0,3.71
2349,-61.34498265323584,-20.68332275452451,chuy,60.85,94.0,0.0,4.38
1444,-13.856229464464292,-89.56219224985361,chicama,66.2,93.0,20.0,8.05
1146,19.22837808122877,63.9196856365937,sur,74.17,91.0,0.0,10.65
126,64.90030740567016,8.308439147446279,sistranda,32.0,100.0,0.0,17.22
2355,21.168457427219664,124.026692029206,basco,32.0,58.0,1.0,5.73
2272,-26.166280511253582,-53.34090525804041,ampere,68.0,72.0,1.0,4.7
647,49.79180088286142,33.21069247590239,khorol,25.97,91.0,32.0,3.49
16,43.83608121351733,-53.509790667269,marystown,30.65,99.0,92.0,19.04
2066,-3.8586800273599806,147.78891417432868,lorengau,80.65,100.0,100.0,12.77
544,-16.781032359879674,44.864302994879864,mahajanga,78.8,83.0,40.0,2.24
1627,-11.782587154554989,-42.66241706126664,oliveira dos brejinhos,68.05,99.0,80.0,3.15
688,9.514574034295151,127.04076635740864,cortes,79.48,84.0,56.0,6.4
1802,20.45864540573595,76.05027892068819,buldana,80.96,38.0,0.0,8.41
621,46.162034101291425,146.53962023566356,kurilsk,40.91,86.0,92.0,32.12
1363,67.7563324450852,154.57247569724137,srednekolymsk,-14.13,44.0,32.0,3.38
85,31.012451882897366,-153.2872256258033,kailua,75.2,56.0,90.0,12.75
391,4.09399962812283,105.58624743721089,cukai,78.8,94.0,75.0,4.7
2295,22.943202410582657,-120.84586734745321,guerrero negro,59.45,81.0,24.0,5.73
1581,-19.09086658004061,8.182021286273397,namibe,73.63,100.0,0.0,2.59
2061,56.661161392568914,146.71188197821493,okhotsk,11.12,92.0,56.0,10.2
1168,14.194494338897158,-0.1337108747722482,dori,69.58,41.0,0.0,5.06
264,-11.381427798250101,31.36150892112053,mpika,60.49,100.0,76.0,3.15
396,43.447900053694724,39.372396275384176,gornoye loo,48.2,93.0,90.0,2.24
2305,28.536679268306457,-22.175175506424353,los llanos de aridane,69.8,56.0,36.0,2.24
1261,39.57424737957146,166.23367488312846,severo-kurilsk,29.98,100.0,92.0,16.13
83,-9.962350027060452,159.81052637045354,honiara,87.8,74.0,75.0,6.93
834,60.71893706488643,12.748203987008537,kirkenaer,21.97,81.0,80.0,3.71
700,35.385165930775884,-79.779578272038,asheboro,39.2,44.0,1.0,4.7
897,24.989604796700775,-103.09716141008525,venustiano carranza,68.0,40.0,90.0,11.41
2408,58.84568278748205,-54.126902652000226,paamiut,21.97,100.0,0.0,24.07
1425,2.4917781079734453,-9.72372483461308,harper,59.0,35.0,1.0,6.93
687,-15.260214380564818,-52.75384535834692,barra do garcas,77.68,79.0,36.0,4.27
388,35.393003051623225,-105.08223172201622,las vegas,68.0,10.0,1.0,9.17
2124,-12.733228436946376,149.98630855860853,samarai,82.18,100.0,64.0,18.81
1609,41.73485501950475,48.22277194646642,gereykhanovskoye,31.87,83.0,32.0,1.25
1733,2.2302310451339196,-117.02942306930404,san patricio,67.78,72.0,68.0,2.26
664,19.214546461706306,141.87809253264163,airai,77.54,81.0,68.0,1.92
1028,12.787832042915369,130.56623917124745,sulangan,81.37,100.0,20.0,14.0
644,70.36193920927434,115.36678298199587,saskylakh,-20.61,60.0,8.0,12.44
901,69.83413228376361,76.69891123313135,tazovskiy,-6.88,60.0,12.0,4.5
1149,-82.19405301791382,-167.8009517429519,vaini,72.59,63.0,0.0,3.6
2258,60.363193300052984,16.76861812144125,sandviken,27.82,96.0,92.0,4.94
104,26.50486213535953,102.80745914580103,panzhihua,59.32,43.0,0.0,1.14
2371,-17.865832028684835,56.517799522486655,cap malheureux,73.4,88.0,20.0,4.7
1690,46.52187763282774,7.300430351770871,saanen,41.0,59.0,0.0,5.82
1365,64.9701340036849,14.821432408460623,storforshei,4.69,87.0,68.0,1.92
351,21.149186234105315,23.27971355104279,faya,55.4,76.0,0.0,2.82
1199,58.04916622005888,37.301300987509194,krasnyy kholm,1.4,70.0,12.0,8.97
898,59.446168471617284,123.30738945785049,aldan,4.15,59.0,0.0,3.49
1530,1.6115165159211386,0.6602007330991171,mumford,77.59,95.0,8.0,6.85
900,13.544513556236112,-69.63922611495582,oranjestad,80.6,78.0,20.0,19.46
175,32.0479560877058,72.3317268947732,mangla,42.67,72.0,92.0,2.37
92,13.207260536022687,83.22300792999602,kattivakkam,75.2,94.0,40.0,5.5
513,63.03921748322938,79.39496623617288,tarko-sale,1.31,71.0,68.0,3.15
1841,28.79735117941739,-29.868992441866226,ribeira grande,59.0,87.0,75.0,26.4
1092,-3.2339086067881198,-159.89657573579018,faanui,81.77,100.0,32.0,15.12
1505,-24.70056540026677,119.22437842063653,port hedland,98.6,17.0,0.0,12.75
1662,-30.93412949056271,-58.21952102589789,concordia,67.01,78.0,64.0,0.58
1407,52.40927304867154,142.1572949364632,lazarev,13.64,88.0,88.0,17.02
1981,55.17691567865762,89.8130719920369,uzhur,-1.48,67.0,0.0,4.38
309,-37.5402020228783,165.9360548605021,westport,33.85,97.0,36.0,2.71
1180,32.75939969660732,-116.57540760527932,tecate,62.6,31.0,12.0,10.29
1104,-1.9837348932343843,95.64379595890966,padang,81.82,100.0,0.0,4.05
1590,67.07448428269532,-8.967480768453328,vestmanna,37.4,86.0,92.0,5.82
660,25.420544034925115,95.06322015872786,phek,68.95,70.0,0.0,2.04
1570,6.732680960630461,81.64155853522476,wattegama,74.62,89.0,32.0,3.71
1511,-9.380519900550723,115.40109763090499,denpasar,80.69,86.0,48.0,2.37
1700,8.725837110916629,176.80549787869148,butaritari,82.49,100.0,0.0,11.88
1336,-31.186707999812043,-50.12168933411445,palmares do sul,68.0,82.0,0.0,5.82
2324,-30.742919524718886,15.012988725440493,oranjemund,62.83,98.0,0.0,22.5
592,-9.867065749613403,30.158676894493027,luwingu,61.97,96.0,76.0,2.59
1158,-1.1006780240777942,139.58652552734725,vanimo,79.03,100.0,92.0,3.94
1869,62.00985452772562,-137.55855566383596,haines junction,15.13,80.0,64.0,3.27
474,-41.383079455157976,6.984360363806388,cape town,59.0,77.0,20.0,4.7
1781,26.969982640809476,85.7797297812607,malangwa,74.66,89.0,20.0,2.04
532,14.810554970960567,23.762089073187695,kutum,52.16,44.0,0.0,2.93
397,-33.277918638330085,140.9630413305643,broken hill,86.5,31.0,24.0,13.11
2064,-14.537893176486804,-40.84536617803556,anage,70.16,100.0,92.0,3.71
908,41.59822498900101,12.903732574385828,cori,50.0,87.0,40.0,4.7
288,9.235659154804182,109.31173410323117,phan thiet,84.2,72.0,8.0,12.88
2106,38.209370944566615,-107.22809594265202,montrose,86.0,25.0,0.0,3.36
1644,59.38467949500716,-59.481315921653746,saint-augustin,51.8,66.0,0.0,8.05
999,-18.180707506301715,29.02719941849179,kadoma,65.66,93.0,48.0,3.15
654,8.64173742448375,98.12667647656406,phangnga,82.4,65.0,0.0,13.87
